"Year","Total.Gross","Change","Tickets.Sold","Change.1","X..of.Movies","Total.Screens","Avg.Ticket.Price"
1980,2.749e+09,NA,1.022e+09,NA,161,17590,2.69
1981,2.966e+09,7.9,1.067e+09,4.4,173,18040,2.78
1982,3.453e+09,16.4,1.175e+09,10.1,428,18020,2.94
1983,3.766e+09,9.1,1.197e+09,1.9,495,18884,3.15
1984,4.031e+09,7,1.199e+09,0.2,536,20200,3.36
1985,3749200000,-7,1056100000,-11.9,470,21147,3.55
1986,3.778e+09,0.8,1017200000,-3.7,451,22765,3.71
1987,4252900000,12.6,1088500000,7,509,23555,3.91
1988,4458400000,4.8,1084800000,-0.3,510,23234,4.11
1989,5033400000,12.9,1262800000,16.4,502,23132,3.97
1990,5021800000,-0.2,1188600000,-5.9,410,23689,4.23
1991,4803200000,-4.4,1140600000,-4,458,24570,4.21
1992,4.871e+09,1.4,1173200000,2.9,480,25105,4.15
1993,5154200000,5.8,1.244e+09,6,462,25737,4.14
1994,5396200000,4.7,1291700000,3.8,453,26586,4.18
1995,5493500000,1.8,1262600000,-2.3,411,27805,4.35
1996,5911500000,7.6,1338600000,6,471,29690,4.42
1997,6365900000,7.7,1387700000,3.7,510,31640,4.59
1998,6.949e+09,9.2,1480700000,6.7,509,34186,4.69
1999,7.448e+09,7.2,1465200000,-1.1,461,37185,5.08
2000,7.661e+09,2.9,1420800000,-3,478,37396,5.39
2001,8412500000,9.8,1487300000,4.7,482,36764,5.66
2002,9.155e+09,8.8,1575700000,6,479,35592,5.81
2003,9239700000,0.9,1532300000,-2.8,506,NA,6.03
2004,9380500000,1.5,1510500000,-1.4,551,NA,6.21
2005,8840500000,-5.8,1379200000,-8.7,547,NA,6.41
2006,9209500000,4.2,1.406e+09,2,608,NA,6.55
2007,9663800000,4.9,1404600000,-0.1,631,NA,6.88
2008,9630700000,-0.3,1341300000,-4.5,608,NA,7.18
2009,10595500000,10,1412700000,5.3,521,NA,7.5
2010,10565600000,-0.3,1339100000,-5.2,536,NA,7.89
2011,10174300000,-3.7,1.283e+09,-4.2,602,NA,7.93
2012,10837400000,6.5,1361500000,6.1,665,NA,7.96
2013,10923600000,0.8,1343600000,-1.3,687,NA,8.13
2014,10360600000,-5.2,1268100000,-5.6,698,NA,8.17
