"country","year","GDP (constant 2005 US$)","GDP growth (annual %)","GDP (current US$)","GDP per capita (constant 2005 US$)","GDP per capita (current US$)","GDP per capita growth (annual %)"
"United States",1970,4343659500000,0.429371167940772,1.07588e+12,21183.2096248756,5246.86421005403,-0.733844779837625
"United States",1971,4486810500000,3.2956312528641,1.16777e+12,21606.4186342163,5623.44397840712,1.99785120779678
"United States",1972,4722960800000,5.26321091563817,1.28245e+12,22501.4330906735,6109.93063231315,4.14235450867257
"United States",1973,4989476200000,5.64297294188849,1.42854e+12,23545.3718341364,6741.28989330326,4.63943224974221
"United States",1974,4963673700000,-0.517138452328922,1.54882e+12,23210.5721660572,7242.41772424177,-1.4219340872491
"United States",1975,4953867900000,-0.197551261276502,1.68892e+12,22937.44079121,7820.05158052164,-1.17675416570138
"United States",1976,5220686900000,5.38607418255945,1.87759e+12,23944.2607838191,8611.4155984131,4.38941729277369
"United States",1977,5461289400000,4.60863684432024,2.08595e+12,24797.1040551401,9471.30163140951,3.56178576161064
"United States",1978,5.765023e+12,5.56157306001765,2.35657e+12,25900.3212255992,10587.2812633376,4.44897584817139
"United States",1979,5948105700000,3.1757496891166,2.63214e+12,26429.5647730555,11695.5410899558,2.04338603697771
"United States",1980,5933553300000,-0.244656042343024,2.86251e+12,26113.1182748377,12597.6895147981,-1.19732012590829
"United States",1981,6087503600000,2.5945717888807,3.21095e+12,26529.0003747832,13993.1405959924,1.59261753256874
"United States",1982,5971176200000,-1.91092125185766,3.34499e+12,25775.1579874301,14438.9719593895,-2.84157856196374
"United States",1983,6247782600000,4.63236037147925,3.63814e+12,26723.6800232686,15561.4392280318,3.67998534209197
"United States",1984,6701317900000,7.25914022680622,4.04069e+12,28416.4863776105,17134.2732958762,6.33448070351099
"United States",1985,6985366100000,4.23869161616702,4.34674e+12,29359.6530824969,18269.4473865604,3.31908277593934
"United States",1986,7230669200000,3.51167134962331,4.59015e+12,30111.1017644389,19115.0320863855,2.55946035816727
"United States",1987,7480976400000,3.46174320905179,4.87022e+12,30876.252739497,20100.8712735617,2.5410925878568
"United States",1988,7795472500000,4.20394455461724,5.25263e+12,31883.4535110573,21483.2371502542,3.26205637730075
"United States",1989,8082390800000,3.6805761292853,5.6577e+12,32746.226181939,22922.4654503908,2.7060201322999
"United States",1990,8237518500000,1.91932936477161,5.97958e+12,32999.837755335,23954.4433004972,0.774475727331065
"United States",1991,8231419700000,-0.0740368595226926,6.17405e+12,32537.6992738585,24405.1924848111,-1.400426526042
"United States",1992,8.524078e+12,3.55538061071046,6.5393e+12,33230.4591562254,25492.9555501844,2.12909916136405
"United States",1993,8.758131e+12,2.7457866997463,6.87871e+12,33695.6167113601,26464.8217329245,1.39979274119521
"United States",1994,9111758600000,4.03770621837009,7.30875e+12,34628.8797002197,27776.6165259229,2.76968662379447
"United States",1995,9359508600000,2.7190140880159,7.66406e+12,35149.3874822554,28782.1750200918,1.50310315130528
"United States",1996,9714782800000,3.79586381276471,8.1002e+12,36061.6153292204,30068.2272062481,2.5952880329011
"United States",1997,1.0150684e+13,4.48698863344634,8.608515e+12,37228.7672790356,31572.6902298492,3.23654927589845
"United States",1998,10602380400000,4.44991096166525,9.089168e+12,38434.7531665301,32949.1977640346,3.23939247962603
"United States",1999,11099123100000,4.68519975004857,9.660624e+12,39776.1005590596,34620.9288990826,3.48993367205384
"United States",2000,11553318800000,4.09217643509152,1.0284779e+13,40945.633966815,36449.8551155349,2.94029176142794
"United States",2001,11666077100000,0.97598189708053,1.0621824e+13,40938.0632356953,37273.6181034176,-0.0184897152302455
"United States",2002,11874448100000,1.78612740352968,1.0977514e+13,41284.4506983086,38166.0378407812,0.846125671893844
"United States",2003,12207737200000,2.80677549973881,1.151067e+13,42079.9840726865,39677.1983481058,1.92695642287053
"United States",2004,12669890800000,3.7857433562708,1.2274928e+13,43270.7020212455,41921.8097617892,2.82965399060575
"United States",2005,1.3093726e+13,3.34521588773282,1.3093726e+13,44307.9205848603,44307.9205848603,2.39704584202374
"United States",2006,13442886700000,2.66662598560563,1.3855888e+13,45052.9213240066,46437.0671173065,1.68141661651538
"United States",2007,13681977900000,1.77857037209128,1.4477635e+13,45420.1874907337,48061.5376613353,0.815188351684967
"United States",2008,13642078300000,-0.291621579070096,1.4718582e+13,44861.3909688691,48401.4273403899,-1.23028228797716
"United States",2009,13263438400000,-2.77552944407304,1.4418739e+13,43235.5585384196,47001.5553496818,-3.62412398576254
"United States",2010,13599258100000,2.53192038046484,1.4964372e+13,43961.1685072536,48374.0564565966,1.67827129650522
"United States",2011,1.3817044e+13,1.6014542734504,1.5517926e+13,44324.9443785794,49781.357490134,0.827493635128789
"United States",2012,14137749300000,2.32108474142517,1.6163158e+13,45008.6140909233,51456.6587280353,1.54240399379788
"United States",2013,14451509500000,2.21930799126562,1.6768053e+13,45660.7337641443,52980.0436263119,1.44887747910568
"United States",2014,14796644338349.1,2.38822690701687,1.7419e+13,46405.2592217031,54629.4951678912,1.63055955562295
