Year,Total,Change,Tickets,Change,# of,Total,Avg.,Avg.,#1 Movie
,Gross*,,Sold,,Movies,Screens,Ticket,Cost^,
,,,,,,,Price,,
2015,"$9,942.20 ",-,"1,192.10",-,647,-,$8.34 ,-,Jurassic World
2014,"$10,360.80 ",-5.20%,"1,268.20",-5.60%,702,-,$8.17 ,-,American Sniper
2013,"$10,923.60 ",0.80%,"1,343.60",-1.30%,687,-,$8.13 ,-,Catching Fire
2012,"$10,837.40 ",6.50%,"1,361.50",6.10%,667,-,$7.96 ,-,The Avengers
2011,"$10,174.30 ",-3.70%,"1,283.00",-4.20%,602,-,$7.93 ,-,Harry Potter / Deathly Hallows (P2)
2010,"$10,565.60 ",-0.30%,"1,339.10",-5.20%,536,-,$7.89 ,-,Toy Story 3
2009,"$10,595.50 ",10.00%,"1,412.70",5.30%,521,-,$7.50 ,-,Avatar
2008,"$9,630.70 ",-0.30%,"1,341.30",-4.50%,608,-,$7.18 ,-,The Dark Knight
2007,"$9,663.80 ",4.90%,"1,404.60",-0.10%,631,-,$6.88 ,-,Spider-Man 3
2006,"$9,209.50 ",4.20%,"1,406.00",2.00%,608,-,$6.55 ,-,Dead Man's Chest
2005,"$8,840.50 ",-5.80%,"1,379.20",-8.70%,547,-,$6.41 ,-,Revenge of the Sith
2004,"$9,380.50 ",1.50%,"1,510.50",-1.40%,551,-,$6.21 ,-,Shrek 2
2003,"$9,239.70 ",0.90%,"1,532.30",-2.80%,506,-,$6.03 ,$63.80 ,Return of the King
2002,"$9,155.00 ",8.80%,"1,575.70",6.00%,479,"35,592",$5.81 ,$58.80 ,Spider-Man
2001,"$8,412.50 ",9.80%,"1,487.30",4.70%,482,"36,764",$5.66 ,$47.70 ,Harry Potter / Sorcerer's Stone
2000,"$7,661.00 ",2.90%,"1,420.80",-3.00%,478,"37,396",$5.39 ,$54.80 ,The Grinch
1999,"$7,448.00 ",7.20%,"1,465.20",-1.10%,461,"37,185",$5.08 ,$51.50 ,The Phantom Menace
1998,"$6,949.00 ",9.20%,"1,480.70",6.70%,509,"34,186",$4.69 ,$52.70 ,Saving Private Ryan
1997,"$6,365.90 ",7.70%,"1,387.70",3.70%,510,"31,640",$4.59 ,$53.40 ,Titanic
1996,"$5,911.50 ",7.60%,"1,338.60",6.00%,471,"29,690",$4.42 ,$39.80 ,Independence Day
1995,"$5,493.50 ",1.80%,"1,262.60",-2.30%,411,"27,805",$4.35 ,$36.40 ,Toy Story
1994,"$5,396.20 ",4.70%,"1,291.70",3.80%,453,"26,586",$4.18 ,$34.30 ,Forrest Gump
1993,"$5,154.20 ",5.80%,"1,244.00",6.00%,462,"25,737",$4.14 ,$29.90 ,Jurassic Park
1992,"$4,871.00 ",1.40%,"1,173.20",2.90%,480,"25,105",$4.15 ,$28.90 ,Aladdin
1991,"$4,803.20 ",-4.40%,"1,140.60",-4.00%,458,"24,570",$4.21 ,$26.10 ,Terminator 2
1990,"$5,021.80 ",-0.20%,"1,188.60",-5.90%,410,"23,689",$4.23 ,$26.80 ,Home Alone
1989,"$5,033.40 ",12.90%,"1,262.80",16.40%,502,"23,132",$3.97 ,$23.50 ,Batman
1988,"$4,458.40 ",4.80%,"1,084.80",-0.30%,510,"23,234",$4.11 ,$18.10 ,Rain Man
1987,"$4,252.90 ",12.60%,"1,088.50",7.00%,509,"23,555",$3.91 ,$20.10 ,Three Men and a Baby
1986,"$3,778.00 ",0.80%,"1,017.20",-3.70%,451,"22,765",$3.71 ,$17.50 ,Top Gun
1985,"$3,749.20 ",-7.00%,"1,056.10",-11.90%,470,"21,147",$3.55 ,$16.80 ,Back to the Future
1984,"$4,031.00 ",7.00%,"1,199.00",0.20%,536,"20,200",$3.36 ,$14.40 ,Beverly Hills Cop
1983,"$3,766.00 ",9.10%,"1,197.00",1.90%,495,"18,884",$3.15 ,$11.90 ,Return of the Jedi
1982,"$3,453.00 ",16.40%,"1,175.00",10.10%,428,"18,020",$2.94 ,$11.80 ,E.T.
1981,"$2,966.00 ",7.90%,"1,067.00",4.40%,173,"18,040",$2.78 ,$11.30 ,Raiders / Lost Ark
1980,"$2,749.00 ",-,"1,022.00",-,161,"17,590",$2.69 ,$9.40 ,The Empire Strikes Back
