Year,Total Gross,Change,Tickets Sold,Change,# of Movies,Total Screens,Avg Ticket Price,Avg Cost
12/31/2015,6233.1,,767.6,,345,,8.12,
12/31/2014,10360.6,-5.2,1268.1,-5.6,698,,8.17,
12/31/2013,10923.6,0.8,1343.6,-1.3,687,,8.13,
12/31/2012,10837.4,6.5,1361.5,6.1,665,,7.96,
12/31/2011,10174.3,-3.7,1283,-4.2,602,,7.93,
12/31/2010,10565.6,-0.3,1339.1,-5.2,536,,7.89,
12/31/2009,10595.5,10,1412.7,5.3,521,,7.5,
12/31/2008,9630.7,-0.3,1341.3,-4.5,608,,7.18,
12/31/2007,9663.8,4.9,1404.6,-0.1,631,,6.88,
12/31/2006,9209.5,4.2,1406,2,608,,6.55,
12/31/2005,8840.5,-5.8,1379.2,-8.7,547,,6.41,
12/31/2004,9380.5,1.5,1510.5,-1.4,551,,6.21,
12/31/2003,9239.7,0.9,1532.3,-2.8,506,,6.03,63.8
12/31/2002,9155,8.8,1575.7,6,479,35592,5.81,58.8
12/31/2001,8412.5,9.8,1487.3,4.7,482,36764,5.66,47.7
12/31/2000,7661,2.9,1420.8,-3,478,37396,5.39,54.8
12/31/1999,7448,7.2,1465.2,-1.1,461,37185,5.08,51.5
12/31/1998,6949,9.2,1480.7,6.7,509,34186,4.69,52.7
12/31/1997,6365.9,7.7,1387.7,3.7,510,31640,4.59,53.4
12/31/1996,5911.5,7.6,1338.6,6,471,29690,4.42,39.8
12/31/1995,5493.5,1.8,1262.6,-2.3,411,27805,4.35,36.4
12/31/1994,5396.2,4.7,1291.7,3.8,453,26586,4.18,34.3
12/31/1993,5154.2,5.8,1244,6,462,25737,4.14,29.9
12/31/1992,4871,1.4,1173.2,2.9,480,25105,4.15,28.9
12/31/1991,4803.2,-4.4,1140.6,-4,458,24570,4.21,26.1
12/31/1990,5021.8,-0.2,1188.6,-5.9,410,23689,4.23,26.8
12/31/1989,5033.4,12.9,1262.8,16.4,502,23132,3.97,23.5
12/31/1988,4458.4,4.8,1084.8,-0.3,510,23234,4.11,18.1
12/31/1987,4252.9,12.6,1088.5,7,509,23555,3.91,20.1
12/31/1986,3778,0.8,1017.2,-3.7,451,22765,3.71,17.5
12/31/1985,3749.2,-7,1056.1,-11.9,470,21147,3.55,16.8
12/31/1984,4031,7,1199,0.2,536,20200,3.36,14.4
12/31/1983,3766,9.1,1197,1.9,495,18884,3.15,11.9
12/31/1982,3453,16.4,1175,10.1,428,18020,2.94,11.8
12/31/1981,2966,7.9,1067,4.4,173,18040,2.78,11.3
12/31/1980,2749,,1022,,161,17590,2.69,9.4
