"","Year","Annual Stats","Movie","Genre","Production Budget","Total Domestic Box Office","Trailer"
"1","2020","Â","Hannibal the Conqueror","Adventure","$50,000,000","$0","Â"
"2","2019","Â","Shazam!","Action","Â","$0","Â"
"3","2018","Â","The Flash","Action","Â","$0","Â"
"4","2017","Â","Logan's Run","Thriller/Suspense","Â","$0","Â"
"5","2016","Â","Against All Enemies","Drama","Â","$0","Â"
"6","2015","Annual Stats","Jurassic World","Action","$215,000,000","$652,198,010","Play"
"7","2014","Annual Stats","American Sniper","Drama","$58,000,000","$350,126,372","Play"
"8","2013","Annual Stats","The Hunger Games: Catching Fire","Adventure","$130,000,000","$424,668,047","Play"
"9","2012","Annual Stats","The Avengers","Adventure","$225,000,000","$623,279,547","Play"
"10","2011","Annual Stats","Harry Potter and the Deathly Hallows: Part II","Adventure","$125,000,000","$381,011,219","Play"
"11","2010","Annual Stats","Toy Story 3","Adventure","$200,000,000","$415,004,880","Play"
"12","2009","Annual Stats","Avatar","Action","$425,000,000","$760,507,625","Play"
"13","2008","Annual Stats","The Dark Knight","Action","$185,000,000","$533,345,358","Â"
"14","2007","Annual Stats","Spider-Man 3","Adventure","$258,000,000","$336,530,303","Â"
"15","2006","Annual Stats","Pirates of the Caribbean: Dead Man's Chest","Adventure","$225,000,000","$423,315,812","Â"
"16","2005","Annual Stats","Star Wars Ep. III: Revenge of the Sith","Adventure","$115,000,000","$380,270,577","Â"
"17","2004","Annual Stats","Shrek 2","Adventure","$70,000,000","$436,471,036","Â"
"18","2003","Annual Stats","Finding Nemo","Adventure","$94,000,000","$380,529,370","Play"
"19","2002","Annual Stats","Spider-Man","Adventure","$139,000,000","$403,706,375","Â"
"20","2001","Annual Stats","Harry Potter and the SorcererÂ’s Stone","Adventure","$125,000,000","$317,575,550","Â"
"21","2000","Annual Stats","How the Grinch Stole Christmas","Comedy","$123,000,000","$260,044,825","Â"
"22","1999","Annual Stats","Star Wars Ep. I: The Phantom Menace","Adventure","$115,000,000","$474,544,677","Play"
"23","1998","Annual Stats","Saving Private Ryan","Drama","$65,000,000","$216,119,491","Â"
"24","1997","Annual Stats","Titanic","Thriller/Suspense","$200,000,000","$658,672,302","Play"
"25","1996","Annual Stats","Independence Day","Adventure","$75,000,000","$306,124,059","Â"
"26","1995","Annual Stats","Toy Story","Adventure","$30,000,000","$191,652,928","Â"
"27","1994","Â","The Lion King","Adventure","$79,300,000","$422,780,140","Play"
"28","1993","Â","Jurassic Park","Action","$63,000,000","$395,708,305","Play"
"29","1992","Â","Aladdin","Comedy","$28,000,000","$208,577,270","Â"
"30","1991","Â","Beauty and the Beast","Musical","$20,000,000","$218,951,625","Play"
"31","1990","Â","Home Alone","Comedy","$15,000,000","$277,504,018","Â"
"32","1989","Â","Batman","Action","$35,000,000","$248,972,777","Â"
"33","1988","Â","Rain Man","Comedy","$25,000,000","$168,106,313","Â"
"34","1987","Â","3 Men and a Baby","Comedy","$15,000,000","$164,016,972","Â"
"35","1986","Â","Top Gun","Action","$15,000,000","$179,800,601","Play"
"36","1985","Â","Back to the Future","Adventure","$19,000,000","$212,259,762","Â"
"37","1984","Â","Ghostbusters","Comedy","$30,000,000","$242,212,467","Play"
"38","1983","Â","Star Wars Ep. VI: Return of the Jedi","Adventure","$32,500,000","$309,125,409","Â"
"39","1982","Â","ET: The Extra-Terrestrial","Drama","$10,500,000","$434,949,459","Â"
"40","1981","Â","Raiders of the Lost Ark","Adventure","$20,000,000","$248,159,971","Â"
"41","1980","Â","Star Wars Ep. V: The Empire Strikes Back","Adventure","$23,000,000","$290,158,751","Â"
"42","1979","Â","Kramer vs. Kramer","Drama","Â","$98,982,763","Â"
"43","1978","Â","Grease","Musical","$6,000,000","$181,813,770","Play"
"44","1977","Â","Star Wars Ep. IV: A New Hope","Adventure","$11,000,000","$460,935,665","Â"
"45","1976","Â","Rocky","Drama","$1,000,000","$117,235,147","Â"
"46","1975","Â","Jaws","Horror","$12,000,000","$260,000,000","Â"
"47","1974","Â","Blazing Saddles","Comedy","$2,600,000","$119,500,000","Â"
"48","1973","Â","The Exorcist","Horror","$12,000,000","$204,868,002","Â"
"49","1972","Â","The Godfather","Drama","$7,000,000","$134,821,952","Â"
"50","1971","Â","Billy Jack","","Â","$98,000,000","Â"
"51","1970","Â","Love Story","Drama","Â","$106,397,186","Â"
"52","1969","Â","Butch Cassidy and the Sundance Kid","Western","$6,000,000","$102,308,900","Â"
"53","1968","Â","Funny Girl","","Â","$58,500,000","Â"
"54","1967","Â","The Jungle Book","Musical","Â","$141,843,000","Â"
"55","1966","Â","The Bible","Drama","Â","$34,900,023","Â"
"56","1965","Â","The Sound of Music","Musical","$8,200,000","$163,214,286","Â"
"57","1964","Â","Mary Poppins","Musical","$6,000,000","$102,300,000","Â"
"58","1963","Â","Cleopatra","Drama","$42,000,000","$57,000,000","Â"
"59","1962","Â","The Longest Day","Action","$10,000,000","$39,100,000","Â"
